Date,Time,Open,High,Low,Close,Volume,Target
2012.08.02,0:00,1.0278,1.0347,1.0247,1.0315,102385,1.0297 
2012.08.03,0:00,1.0314,1.0342,1.0234,1.0247,92768,1.0288 
2012.08.06,0:00,1.0239,1.0291,1.02,1.0235,93187,1.0246 
2012.08.07,0:00,1.0235,1.0265,1.0205,1.0221,95700,1.0235 
2012.08.08,0:00,1.0221,1.028,1.0211,1.0266,82255,1.0246 
2012.08.09,0:00,1.0265,1.034,1.0243,1.0322,84895,1.0292 
2012.08.10,0:00,1.0322,1.0334,1.0269,1.0326,83453,1.0302 
2012.08.13,0:00,1.0308,1.0325,1.0213,1.0239,73737,1.0269 
2012.08.14,0:00,1.0239,1.0244,1.0202,1.0221,77653,1.0223 
2012.08.15,0:00,1.0221,1.0279,1.0183,1.0261,73539,1.0231 
2012.08.16,0:00,1.0261,1.0272,1.0192,1.0213,75815,1.0232 
2012.08.17,0:00,1.0212,1.0227,1.0131,1.0141,76440,1.0179 
2012.08.20,0:00,1.0142,1.0196,1.0133,1.0159,69835,1.0165 
2012.08.21,0:00,1.0158,1.0194,1.0084,1.0092,71623,1.0139 
2012.08.22,0:00,1.0092,1.0096,1.0038,1.0068,84199,1.0067 
2012.08.23,0:00,1.0067,1.0088,0.9973,0.9976,78771,1.0031 
2012.08.24,0:00,0.9976,0.9992,0.9946,0.998,69453,0.9969 
2012.08.27,0:00,1,1.0004,0.9947,0.996,51290,0.9976 
2012.08.28,0:00,0.996,0.998,0.9908,0.9915,59996,0.9944 
2012.08.29,0:00,0.9915,0.9946,0.9896,0.9913,56091,0.9921 
2012.08.30,0:00,0.9915,0.9918,0.987,0.9876,58289,0.9894 
2012.08.31,0:00,0.9876,0.9897,0.9815,0.986,67440,0.9856 
2012.09.03,0:00,0.9821,0.9829,0.9752,0.9768,56909,0.9791 
2012.09.04,0:00,0.9768,0.9792,0.9737,0.9769,63887,0.9765 
2012.09.05,0:00,0.977,0.9792,0.9711,0.9738,71047,0.9752 
2012.09.06,0:00,0.9737,0.9836,0.9717,0.9803,70990,0.9777 
2012.09.07,0:00,0.9803,0.99,0.9792,0.98,75371,0.9846 
2012.09.10,0:00,0.9783,0.9815,0.977,0.9776,57758,0.9793 
2012.09.11,0:00,0.9777,0.9823,0.9741,0.9793,69963,0.9782 
2012.09.12,0:00,0.9793,0.9856,0.9788,0.9806,77366,0.9822 
2012.09.13,0:00,0.9805,0.9882,0.9766,0.9859,80246,0.9824 
2012.09.14,0:00,0.986,0.9887,0.976,0.9767,83356,0.9824 
2012.09.17,0:00,0.9776,0.9793,0.9701,0.9712,71319,0.9747 
2012.09.18,0:00,0.9712,0.9718,0.964,0.9706,76384,0.9679 
2012.09.19,0:00,0.9706,0.9731,0.9668,0.9715,75393,0.9700 
2012.09.20,0:00,0.9716,0.9743,0.9658,0.9736,81886,0.9701 
2012.09.21,0:00,0.9735,0.9795,0.9722,0.9753,76348,0.9759 
2012.09.24,0:00,0.974,0.9762,0.9719,0.9751,69095,0.9741 
2012.09.25,0:00,0.9751,0.9777,0.9729,0.9736,76050,0.9753 
2012.09.26,0:00,0.9737,0.9745,0.9705,0.9739,73182,0.9725 
2012.09.27,0:00,0.9739,0.9801,0.9733,0.9784,75977,0.9767 
2012.09.28,0:00,0.9783,0.9794,0.9733,0.9743,75765,0.9764 
2012.10.01,0:00,0.9747,0.9769,0.9711,0.9717,66147,0.9740 
2012.10.02,0:00,0.9717,0.973,0.9595,0.9609,64259,0.9663 
2012.10.03,0:00,0.9609,0.9611,0.9553,0.9583,69883,0.9582 
2012.10.04,0:00,0.9583,0.9597,0.9519,0.9525,77625,0.9558 
2012.10.05,0:00,0.9525,0.9561,0.9441,0.9442,72885,0.9501 
2012.10.08,0:00,0.944,0.9532,0.9429,0.9506,67617,0.9481 
2012.10.09,0:00,0.9506,0.9603,0.9502,0.9592,62379,0.9553 
2012.10.10,0:00,0.9592,0.9636,0.9589,0.9609,62558,0.9613 
2012.10.11,0:00,0.961,0.966,0.9585,0.9593,62799,0.9623 
2012.10.12,0:00,0.9593,0.9612,0.953,0.9547,56285,0.9571 
2012.10.15,0:00,0.9567,0.958,0.9526,0.9563,54943,0.9553 
2012.10.16,0:00,0.9564,0.9577,0.9506,0.9512,54985,0.9542 
2012.10.17,0:00,0.9512,0.9577,0.949,0.9573,60006,0.9534 
2012.10.18,0:00,0.9573,0.96,0.956,0.9582,57617,0.9580 
2012.10.19,0:00,0.9582,0.9602,0.9574,0.958,56930,0.9588 
2012.10.22,0:00,0.9574,0.9579,0.9548,0.9562,50428,0.9564 
2012.10.23,0:00,0.9562,0.9586,0.9543,0.9569,55249,0.9565 
2012.10.24,0:00,0.9568,0.9668,0.956,0.9651,59145,0.9614 
